ExchangeId,OldCarID,NewCarID,CustomerID,ExchangeDate
1,5,24,9,2023-10-18
2,9,20,33,2023-05-15
3,18,16,68,2023-03-27
4,9,2,28,2023-09-01
5,6,8,30,2023-05-09
6,4,7,69,2023-03-24
7,20,18,16,2023-01-30
8,23,2,56,2023-03-01
9,7,6,60,2023-03-01
10,19,17,64,2023-08-15
11,20,2,99,2023-01-06
12,12,14,30,2023-03-04
13,14,2,20,2023-01-23
14,9,25,81,2023-06-11
15,18,14,71,2023-03-05
16,19,2,69,2023-02-19
17,12,14,66,2023-04-19
18,13,24,15,2023-12-01
19,6,11,22,2023-03-20
20,12,15,59,2023-06-06
21,22,8,20,2023-10-17
22,19,1,29,2023-01-21
23,21,23,12,2023-12-20
